MVI results,,,,
Country,ISO,MVI - Score,Structural vulnerability index,Lack of Structural Resilience Index
Tajikistan,TJK,51.7,48.6,54.5
Turkmenistan,TKM,51.9,51.6,52.2
Timor-Leste,TLS,46.4,43.3,49.3
Tonga,TON,57.0,49.6,63.6
Trinidad and Tobago,TTO,50.3,47.7,52.7
Tunisia,TUN,45.5,42.9,47.9
Turkey,TUR,46.5,49.8,43.0
Tuvalu,TUV,64.3,48.3,77.0
United Republic of Tanzania,TZA,41.6,35.8,46.6
Uganda,UGA,54.5,52.4,56.5
Uruguay,URY,44.7,30.7,55.3
Uzbekistan,UZB,49.2,42.5,55.0
Saint Vincent and the Grenadines,VCT,61.8,65.1,58.2
Venezuela (Bolivarian Republic of),VEN,48.4,49.2,47.7
Viet Nam,VNM,42.3,41.2,43.4
Vanuatu,VUT,54.4,51.2,57.4
Samoa,WSM,62.5,57.2,67.3
Yemen,YEM,72.9,73.9,71.8
South Africa,ZAF,48.1,40.4,54.7
Zambia,ZMB,48.6,41.6,54.8
Zimbabwe,ZWE,58.1,60.0,56.1
,,,,
,,,,
,Mean,52.9,,
,Median,52.8,,
,SD,8.4,,
